Stage,StateVarName,Weight
13,price_6,1.0
13,price_7,1.0
13,price_8,1.0
13,price_9,1.0
13,price_10,1.0
13,price_11,1.0
13,price_12,1.0
13,price_13,1.0
13,price_14,1.0
13,price_15,1.0
13,price_16,1.0
13,price_17,1.0
13,price_18,1.0
13,price_19,1.0
13,price_20,1.0
13,price_21,1.0
13,price_22,1.0
13,price_23,1.0
14,price_0,1.0
14,price_1,1.0
14,price_2,1.0
14,price_3,1.0
14,price_4,1.0
14,price_5,1.0
14,price_6,1.0
14,price_7,1.0
14,price_8,1.0
14,price_9,1.0
14,price_10,1.0
14,price_11,1.0
14,price_12,1.0
14,price_13,1.0
14,price_14,1.0
14,price_15,1.0
14,price_16,1.0
14,price_17,1.0
14,price_18,1.0
14,price_19,1.0
14,price_20,1.0
14,price_21,1.0
14,price_22,1.0
14,price_23,1.0
15,price_0,1.0
15,price_1,1.0
15,price_2,1.0
15,price_3,1.0
15,price_4,1.0
15,price_5,1.0
15,price_6,1.0
15,price_7,1.0
15,price_8,1.0
15,price_9,1.0
15,price_10,1.0
15,price_11,1.0
15,price_12,1.0
15,price_13,1.0
15,price_14,1.0
15,price_15,1.0
15,price_16,1.0
15,price_17,1.0
15,price_18,1.0
15,price_19,1.0
15,price_20,1.0
15,price_21,1.0
15,price_22,1.0
15,price_23,1.0
16,price_0,1.0
16,price_1,1.0
16,price_2,1.0
16,price_3,1.0
16,price_4,1.0
16,price_5,1.0
16,price_6,1.0
16,price_7,1.0
16,price_8,1.0
16,price_9,1.0
16,price_10,1.0
16,price_11,1.0
16,price_12,1.0
16,price_13,1.0
16,price_14,1.0
16,price_15,1.0
16,price_16,1.0
16,price_17,1.0
16,price_18,1.0
16,price_19,1.0
16,price_20,1.0
16,price_21,1.0
16,price_22,1.0
16,price_23,1.0
17,price_0,1.0
17,price_1,1.0
17,price_2,1.0
17,price_3,1.0
17,price_4,1.0
17,price_5,1.0
17,price_6,1.0
17,price_7,1.0
17,price_8,1.0
17,price_9,1.0
17,price_10,1.0
17,price_11,1.0
17,price_12,1.0
17,price_13,1.0
17,price_14,1.0
17,price_15,1.0
17,price_16,1.0
17,price_17,1.0
17,price_18,1.0
17,price_19,1.0
17,price_20,1.0
17,price_21,1.0
17,price_22,1.0
17,price_23,1.0
18,price_0,1.0
18,price_1,1.0
18,price_2,1.0
18,price_3,1.0
18,price_4,1.0
18,price_5,1.0
18,price_6,1.0
18,price_7,1.0
18,price_8,1.0
18,price_9,1.0
18,price_10,1.0
18,price_11,1.0
18,price_12,1.0
18,price_13,1.0
18,price_14,1.0
18,price_15,1.0
18,price_16,1.0
18,price_17,1.0
18,price_18,1.0
18,price_19,1.0
18,price_20,1.0
18,price_21,1.0
18,price_22,1.0
18,price_23,1.0
19,price_0,1.0
19,price_1,1.0
19,price_2,1.0
19,price_3,1.0
19,price_4,1.0
19,price_5,1.0
19,price_6,1.0
19,price_7,1.0
19,price_8,1.0
19,price_9,1.0
19,price_10,1.0
19,price_11,1.0
19,price_12,1.0
19,price_13,1.0
19,price_14,1.0
19,price_15,1.0
19,price_16,1.0
19,price_17,1.0
19,price_18,1.0
19,price_19,1.0
19,price_20,1.0
19,price_21,1.0
19,price_22,1.0
19,price_23,1.0
20,price_0,1.0
20,price_1,1.0
20,price_2,1.0
20,price_3,1.0
20,price_4,1.0
20,price_5,1.0
20,price_6,1.0
20,price_7,1.0
20,price_8,1.0
20,price_9,1.0
20,price_10,1.0
20,price_11,1.0
20,price_12,1.0
20,price_13,1.0
20,price_14,1.0
20,price_15,1.0
20,price_16,1.0
20,price_17,1.0
20,price_18,1.0
20,price_19,1.0
20,price_20,1.0
20,price_21,1.0
20,price_22,1.0
20,price_23,1.0
21,price_0,1.0
21,price_1,1.0
21,price_2,1.0
21,price_3,1.0
21,price_4,1.0
21,price_5,1.0
21,price_6,1.0
21,price_7,1.0
21,price_8,1.0
21,price_9,1.0
21,price_10,1.0
21,price_11,1.0
21,price_12,1.0
21,price_13,1.0
21,price_14,1.0
21,price_15,1.0
21,price_16,1.0
21,price_17,1.0
21,price_18,1.0
21,price_19,1.0
21,price_20,1.0
21,price_21,1.0
21,price_22,1.0
21,price_23,1.0
22,price_0,1.0
22,price_1,1.0
22,price_2,1.0
22,price_3,1.0
22,price_4,1.0
22,price_5,1.0
22,price_6,1.0
22,price_7,1.0
22,price_8,1.0
22,price_9,1.0
22,price_10,1.0
22,price_11,1.0
22,price_12,1.0
22,price_13,1.0
22,price_14,1.0
22,price_15,1.0
22,price_16,1.0
22,price_17,1.0
22,price_18,1.0
22,price_19,1.0
22,price_20,1.0
22,price_21,1.0
22,price_22,1.0
22,price_23,1.0
23,price_0,1.0
23,price_1,1.0
23,price_2,1.0
23,price_3,1.0
23,price_4,1.0
23,price_5,1.0
23,price_6,1.0
23,price_7,1.0
23,price_8,1.0
23,price_9,1.0
23,price_10,1.0
23,price_11,1.0
23,price_12,1.0
23,price_13,1.0
23,price_14,1.0
23,price_15,1.0
23,price_16,1.0
23,price_17,1.0
23,price_18,1.0
23,price_19,1.0
23,price_20,1.0
23,price_21,1.0
23,price_22,1.0
23,price_23,1.0
24,price_0,1.0
24,price_1,1.0
24,price_2,1.0
24,price_3,1.0
24,price_4,1.0
24,price_5,1.0
24,price_6,1.0
24,price_7,1.0
24,price_8,1.0
24,price_9,1.0
24,price_10,1.0
24,price_11,1.0
24,price_12,1.0
24,price_13,1.0
24,price_14,1.0
24,price_15,1.0
24,price_16,1.0
24,price_17,1.0
24,price_18,1.0
24,price_19,1.0
24,price_20,1.0
24,price_21,1.0
24,price_22,1.0
24,price_23,1.0
25,price_0,1.0
25,price_1,1.0
25,price_2,1.0
25,price_3,1.0
25,price_4,1.0
25,price_5,1.0
25,price_6,1.0
25,price_7,1.0
25,price_8,1.0
25,price_9,1.0
25,price_10,1.0
25,price_11,1.0
25,price_12,1.0
25,price_13,1.0
25,price_14,1.0
25,price_15,1.0
25,price_16,1.0
25,price_17,1.0
25,price_18,1.0
25,price_19,1.0
25,price_20,1.0
25,price_21,1.0
25,price_22,1.0
25,price_23,1.0
26,price_0,1.0
26,price_1,1.0
26,price_2,1.0
26,price_3,1.0
26,price_4,1.0
26,price_5,1.0
26,price_6,1.0
26,price_7,1.0
26,price_8,1.0
26,price_9,1.0
26,price_10,1.0
26,price_11,1.0
26,price_12,1.0
26,price_13,1.0
26,price_14,1.0
26,price_15,1.0
26,price_16,1.0
26,price_17,1.0
26,price_18,1.0
26,price_19,1.0
26,price_20,1.0
26,price_21,1.0
26,price_22,1.0
26,price_23,1.0
27,price_0,1.0
27,price_1,1.0
27,price_2,1.0
27,price_3,1.0
27,price_4,1.0
27,price_5,1.0
27,price_6,1.0
27,price_7,1.0
27,price_8,1.0
27,price_9,1.0
27,price_10,1.0
27,price_11,1.0
27,price_12,1.0
27,price_13,1.0
27,price_14,1.0
27,price_15,1.0
27,price_16,1.0
27,price_17,1.0
27,price_18,1.0
27,price_19,1.0
27,price_20,1.0
27,price_21,1.0
27,price_22,1.0
27,price_23,1.0
28,price_0,1.0
28,price_1,1.0
28,price_2,1.0
28,price_3,1.0
28,price_4,1.0
28,price_5,1.0
28,price_6,1.0
28,price_7,1.0
28,price_8,1.0
28,price_9,1.0
28,price_10,1.0
28,price_11,1.0
28,price_12,1.0
28,price_13,1.0
28,price_14,1.0
28,price_15,1.0
28,price_16,1.0
28,price_17,1.0
28,price_18,1.0
28,price_19,1.0
28,price_20,1.0
28,price_21,1.0
28,price_22,1.0
28,price_23,1.0
29,price_0,1.0
29,price_1,1.0
29,price_2,1.0
29,price_3,1.0
29,price_4,1.0
29,price_5,1.0
29,price_6,1.0
29,price_7,1.0
29,price_8,1.0
29,price_9,1.0
29,price_10,1.0
29,price_11,1.0
29,price_12,1.0
29,price_13,1.0
29,price_14,1.0
29,price_15,1.0
29,price_16,1.0
29,price_17,1.0
29,price_18,1.0
29,price_19,1.0
29,price_20,1.0
29,price_21,1.0
29,price_22,1.0
29,price_23,1.0
30,price_0,1.0
30,price_1,1.0
30,price_2,1.0
30,price_3,1.0
30,price_4,1.0
30,price_5,1.0
30,price_6,1.0
30,price_7,1.0
30,price_8,1.0
30,price_9,1.0
30,price_10,1.0
30,price_11,1.0
30,price_12,1.0
30,price_13,1.0
30,price_14,1.0
30,price_15,1.0
30,price_16,1.0
30,price_17,1.0
30,price_18,1.0
30,price_19,1.0
