Stage,StateVarName,Weight
93,inflow:2,1.0
94,inflow,1.0
94,inflow:1,1.0
94,inflow:2,1.0
95,inflow,1.0
95,inflow:1,1.0
95,inflow:2,1.0
96,inflow,1.0
96,inflow:1,1.0
96,inflow:2,1.0
97,inflow,1.0
97,inflow:1,1.0
97,inflow:2,1.0
98,inflow,1.0
98,inflow:1,1.0
98,inflow:2,1.0
99,inflow,1.0
99,inflow:1,1.0
99,inflow:2,1.0
100,inflow,1.0
100,inflow:1,1.0
100,inflow:2,1.0
101,inflow,1.0
101,inflow:1,1.0
101,inflow:2,1.0
102,inflow,1.0
102,inflow:1,1.0
102,inflow:2,1.0
103,inflow,1.0
103,inflow:1,1.0
103,inflow:2,1.0
104,inflow,1.0
104,inflow:1,1.0
104,inflow:2,1.0
105,inflow,1.0
105,inflow:1,1.0
105,inflow:2,1.0
106,inflow,1.0
106,inflow:1,1.0
106,inflow:2,1.0
107,inflow,1.0
107,inflow:1,1.0
107,inflow:2,1.0
108,inflow,1.0
108,inflow:1,1.0
108,inflow:2,1.0
109,inflow,1.0
109,inflow:1,1.0
109,inflow:2,1.0
110,inflow,1.0
110,inflow:1,1.0
110,inflow:2,1.0
111,inflow,1.0
111,inflow:1,1.0
111,inflow:2,1.0
112,inflow,1.0
112,inflow:1,1.0
112,inflow:2,1.0
113,inflow,1.0
113,inflow:1,1.0
113,inflow:2,1.0
114,inflow,1.0
114,inflow:1,1.0
114,inflow:2,1.0
115,inflow,1.0
115,inflow:1,1.0
115,inflow:2,1.0
116,inflow,1.0
116,inflow:1,1.0
116,inflow:2,1.0
117,inflow,1.0
117,inflow:1,1.0
117,inflow:2,1.0
118,inflow,1.0
118,inflow:1,1.0
118,inflow:2,1.0
119,inflow,1.0
119,inflow:1,1.0
119,inflow:2,1.0
120,inflow,1.0
120,inflow:1,1.0
120,inflow:2,1.0
121,inflow,1.0
121,inflow:1,1.0
121,inflow:2,1.0
122,inflow,1.0
122,inflow:1,1.0
122,inflow:2,1.0
123,inflow,1.0
123,inflow:1,1.0
123,inflow:2,1.0
124,inflow,1.0
124,inflow:1,1.0
124,inflow:2,1.0
125,inflow,1.0
125,inflow:1,1.0
125,inflow:2,1.0
126,inflow,1.0
126,inflow:1,1.0
126,inflow:2,1.0
127,inflow,1.0
127,inflow:1,1.0
127,inflow:2,1.0
128,inflow,1.0
128,inflow:1,1.0
128,inflow:2,1.0
129,inflow,1.0
129,inflow:1,1.0
129,inflow:2,1.0
130,inflow,1.0
130,inflow:1,1.0
130,inflow:2,1.0
131,inflow,1.0
131,inflow:1,1.0
131,inflow:2,1.0
132,inflow,1.0
132,inflow:1,1.0
132,inflow:2,1.0
133,inflow,1.0
133,inflow:1,1.0
133,inflow:2,1.0
134,inflow,1.0
134,inflow:1,1.0
134,inflow:2,1.0
135,inflow,1.0
135,inflow:1,1.0
135,inflow:2,1.0
136,inflow,1.0
136,inflow:1,1.0
136,inflow:2,1.0
137,inflow,1.0
137,inflow:1,1.0
137,inflow:2,1.0
138,inflow,1.0
138,inflow:1,1.0
138,inflow:2,1.0
139,inflow,1.0
139,inflow:1,1.0
139,inflow:2,1.0
140,inflow,1.0
140,inflow:1,1.0
140,inflow:2,1.0
141,inflow,1.0
141,inflow:1,1.0
141,inflow:2,1.0
142,inflow,1.0
142,inflow:1,1.0
142,inflow:2,1.0
143,inflow,1.0
143,inflow:1,1.0
143,inflow:2,1.0
144,inflow,1.0
144,inflow:1,1.0
144,inflow:2,1.0
145,inflow,1.0
145,inflow:1,1.0
145,inflow:2,1.0
146,inflow,1.0
146,inflow:1,1.0
146,inflow:2,1.0
147,inflow,1.0
147,inflow:1,1.0
147,inflow:2,1.0
148,inflow,1.0
148,inflow:1,1.0
148,inflow:2,1.0
149,inflow,1.0
149,inflow:1,1.0
149,inflow:2,1.0
150,inflow,1.0
150,inflow:1,1.0
150,inflow:2,1.0
151,inflow,1.0
151,inflow:1,1.0
151,inflow:2,1.0
152,inflow,1.0
152,inflow:1,1.0
152,inflow:2,1.0
153,inflow,1.0
153,inflow:1,1.0
153,inflow:2,1.0
154,inflow,1.0
154,inflow:1,1.0
154,inflow:2,1.0
155,inflow,1.0
155,inflow:1,1.0
155,inflow:2,1.0
156,inflow,1.0
156,inflow:1,1.0
156,inflow:2,1.0
157,inflow,1.0
157,inflow:1,1.0
157,inflow:2,1.0
158,inflow,1.0
158,inflow:1,1.0
158,inflow:2,1.0
159,inflow,1.0
159,inflow:1,1.0
159,inflow:2,1.0
160,inflow,1.0
160,inflow:1,1.0
160,inflow:2,1.0
161,inflow,1.0
161,inflow:1,1.0
161,inflow:2,1.0
162,inflow,1.0
162,inflow:1,1.0
162,inflow:2,1.0
163,inflow,1.0
163,inflow:1,1.0
